Position,Institution,Short name,Count,Share
2,Harvard University,Harvard,3835,1119.72
5,Peking University,PKU,3561,893.58
7,Tsinghua University,Tsinghua,2996,865.97
15,Stanford University,Stanford,2032,602.57
17,Massachusetts Institute of Technology,MIT,2168,518.7
25,University of Oxford,Oxford,1790,443.17
29,University of Cambridge,Cambridge,1529,401.76
33,University of Toronto,U of T,1253,375.62
35,University of Michigan - Ann Arbor,U-M,1384,373.24
38,Yale University,Yale,1321,368.05
39,University of California-San Diego,UC San Diego,1178,367.84
40,University of Pennsylvania,Penn,1248,363.72
41,University of California-Berkeley,UC Berkeley,1447,363.17
42,University of California-Los Angeles,UCLA,1326,362.74
43,Cornell University,Cornell,1224,342.05
44,Northwestern University,NU,1024,337.21
45,Johns Hopkins University,JHU,1395,335.75
46,National University of Singapore,NUS,1227,334.25
48,"University of Washington, Seattle",UW,1449,329.23
49,Columbia University,Columbia,1272,325.81
55,Princeton University,Princeton,999,296.53
56,University of Chicago,UChicago,1105,286.93
58,Imperial College London,ICL,1228,267.54
59,Seoul National University,SNU,741,267.20
60,California Institute of Technology,Caltech,983,265.15
61,Washington University in St. Louis,WUSTL,864,265.03
62,University of Texas at Austin,UT Austin,879,264.64
63,University of California-San Francisco,UCSF,1008,255.84
67,University of Wisconsin-Madison,UW-Madison,985,247.48
70,New York University,NYU,846,243.79
73,Duke University,Duke,989,236.43
75,University of Minnesota,UMN,924,235.53
80,University of Copenhagen,UCPH,1039,224.12
89,University of Illinois at Urbana-Champaign,UIUC,705,203.65
90,McGill University Canada,McGill,770,200.79
92,University of Pittsburgh,Pitt,878,192.05
94,Pennsylvania State University,Penn State,752,191.25
95,University of Southern California,USC,615,187.53
96,University of Colorado Boulder,CU Boulder,854,187.1
104,University of Texas Southwestern Medical Center,UT Southwestern,499,169.82
109,Ohio State University,OSU,851,168.53
110,University of British Columbia,UBC,703,166.94
112,Emory University,Emory,636,165.37
115,University of North Carolina at Chapel Hill,UNC,780,163.41
117,Weizmann Institute of Science,WIS,424,161.31
118,Monash University - Australia,Monash,806,160.77
119,University of California-Irvine,UCI,555,160.6
120,University of Edinburgh,Edinburgh,825,160.25
122,University of California-Santa Barbara,UCSB,544,158.54
128,Texas A & M University - College Station,TAMU,641,154.32
129,Purdue University,Purdue,425,153.91
130,University of Florida,UF,799,153.67
132,University of California-Davis,UC Davis,614,153.27
135,Vanderbilt University,VU,722,152.09
141,Indiana University - Bloomington,IU,735,142.97
145,University of Melbourne,UniMelb,838,141.09
146,Yonsei University,YU,566,140.69
158,University of New South Wales ( UNSW Sydney), UNSW Sydney,612,131.78
159,University of Maryland-College Park,UMCP,771,130.44
162,University of Utah,Utah,478,129.22
163,Hebrew University of Jerusalem,HUJI,345,128.33
170,Boston University,BU,768,124.66
174,Rutgers University-New Brunswick,RU,652,123.19
175,Rice University,Rice,473,123.02
180,Georgia Institute of Technology,Georgia Tech,427,119.85
184,University of Arizona - Tucson,Arizona,612,115.7
188,University of Sydney,USYD,664,114.44
189,Baylor College of Medicine,BCM,462,114.39
199,Tel Aviv University,TAU,439,109.60
210,Brown University,Brown,440,105.37
216,Michigan State University,MSU,591,102.56
229,Technion - Israel Institute of Technology,Technion,299,98.37
230,University of Virginia,UVA,551,97.52
231,University of California-Riverside,UCR,319,97.06
243,Stony Brook University,SUNY Stony Brook,546,91.46
244,University of Texas MD Anderson Cancer Center,MD Anderson,472,91.4
248,University of Colorado Anschutz Medical Campus,CU Anschutz,414,91.09
249,University of Glasgow,Glasgow,517,91.02
254,University of Rochester,UR,357,88.73
255,Arizona State University,ASU,389,88.68
261,North Carolina State University,NCSU,300,86.25
272,Colorado State University,Colorado State,319,81.98
290,University of Georgia,UGA,277,77.28
297,Carnegie Mellon University,CMU,329,75.9
304,Indian Institute of Technology Bombay, IIT Bombay,154,75
305,University of Massachusetts Amherst,UMass Amherst,293,74.68
314,Virginia Polytechnic Institute and State University,Virginia Tech,227,73.23
316,University of Cincinnati,UC,331,72.06
326,Indian Institute of Technology Madras,IIT Madras,210,70.08
327,Dartmouth College,Dartmouth,225,69.96
328,University of Notre Dame,ND,267,69.86
336,University of Waterloo,Waterloo,234,67.80
337,Oregon Health and Science University,OHSU,264,67.54
339,University of Iowa,UI,359,66.62
345,Iowa State University,Iowa State,371,65.92
346,University of Alabama at Birmingham,UAB,315,65.63
348,University of Connecticut,UConn,234,65.47
350,Indian Institute of Technology Kanpur,IIT Kanpur,130,64.75
354,University of Calgary,U of C,283,63.63
357,Northeastern University,NEU,287,62.88
360,Ben-Gurion University of the Negev,BGU,162,61.74
366,University of California-Santa Cruz,UCSC,439,60.51
371,University of Illinois at Chicago,UIC,270,59.59
375,Case Western Reserve University,CWRU,275,57.9
378,Florida State University,FSU,352,57.46
386,University of Hawaii at Manoa,UH Manoa,459,55.78
387,Rockefeller University,Rockefeller,222,55.73
389,University at Buffalo-State University of New York,SUNY UB,184,55.7
393,University of Maryland-Baltimore,UMB,206,54.82
410,University of Tennessee at Knoxville,UTK,292,52.72
414,Indian Institute of Technology Delhi, IIT Delhi,90,51.96
415,University of Massachusetts Chan Medical School,UMass Chan,243,51.75
417,University of Delaware,UD,190,51.61
436,University of Texas Health Science Center at Houston,UTHealth,255,48.59
439,City University of New York,CUNY,217,48.33
447,University of Houston,UH,210,47.59
452,Albert Einstein College of Medicine,Einstein,213,46.85
454,University of Oklahoma,OU,265,46.6
464,University of Miami,UM,258,44.26
468,Queen's University - Canada,Queens,176,43.28
473,University of Kentucky,UK,154,42.65
474,University of Kansas,KU,266,42.63
483,Oregon State University,Oregon State,188,41.8
485,Tufts University,Tufts,323,41.55
486,University of Oregon,UO,166,41.5
493,Indian Institute of Technology Kharagpur, IIT Kharagpur,67,40.69
498,Trinity College Dublin,Trinity-Dublin,223,40.018750959839
500,University of Nebraska-Lincoln,UNL,161,39.78
505,Louisiana State University,LSU,180,39.15
509,University of Missouri - Columbia,Mizzou,158,38.73
515,University of South Carolina - Columbia,SC,130,38.05
525,Drexel University,Drexel,130,37.21
533,University of Texas at Dallas,UT Dallas,151,35.69
544,University of New Mexico,UNM,194,34.69
554,Brandeis University,Brandeis,114,33.58
558,Bar-Ilan University,BIU,94,33.23
563,Tulane University,Tulane,134,32.56
564,University of Nevada-Reno,UNR,94,32.52
588,University of South Florida,USF,139,29.96
591,University College Dublin,UCD,228,29.74
597,Boston College,BC,78,29.41
600,Colorado School of Mines,CO Mines,84,29.26
601,Georgetown University,Georgetown,127,29.24
602,Virginia Commonwealth University,VCU,121,29.15
612,University of Pittsburgh Medical Center,UPMC,222,28.39
625,Wayne State University,Wayne State,166,27.75
629,George Washington University,GW,183,27.4
658,Thomas Jefferson University,TJU,103,25.13
666,Medical College of Wisconsin,MCW,129,24.53
673,University of Central Florida,UCF,96,24.2
678,University of Alabama,UA,146,23.78
682,Wake Forest University,WFU,121,23.52
695,University of Cape Town,UCT,226,22.88
698,Temple University,Temple,102,22.61
699,Washington State University,WSU,116,22.6
701,Lehigh University,Lehigh,54,22.52
702,State University of New York at Albany,SUNY Albany,76,22.45
709,Clemson University,Clemson,99,22.13
714,Birla Institute of Technology and Science,BITS Pilani,44,21.88
717,Texas Tech University,TTU,125,21.77
719,University of Texas Medical Branch,UTMB,75,21.76
723,Utah State University,USU,74,21.55
725,Medical University of South Carolina,MUSC,110,21.48
727,University of Texas Health Science Center at San Antonio,UTHSCSA,115,21.42
737,Montana State University,Montana State,216,21.07
755,York University - Canada,York,133,20.18
756,University of Arkansas,UARK,76,20.14
758,University of Nevada-Las Vegas,UNLV,87,19.98
765,Syracuse University,Syracuse,106,19.54
777,Auburn University,Auburn,82,18.57
783,University of Haifa,HU,61,18.25
786,San Diego State University,SDSU,75,18.03
788,Kansas State University,K-State,111,17.95
789,Rensselaer Polytechnic Institute,RPI,58,17.91
802,University of Nebraska Medical Center,UNMC,88,17.39
811,University of Wyoming,UWYO,86,17.09
818,Binghamton University,SUNY Binghamton,50,16.92
825,Baylor University,Baylor,106,16.68
829,New Jersey Institute of Technology,NJIT,197,16.37
830,University of Vermont,UVM,82,16.34
848,University of Texas at San Antonio,UTSA,54,15.86
854,Saint Louis University,SLU,76,15.72
860,University of North Texas,UNT,70,15.59
861,University of Louisville,UofL,58,15.56
867,University of Texas at Arlington,UTA,119,15.36
870,West Virginia University,WVU,94,15.27
875,Georgia State University,GSU,203,15.11
897,University of Alaska Fairbanks,UAF,94,14.42
912,University of Aberdeen,Aberdeen,109,14.16
942,Rush University,Rush,92,13.22
953,Delhi University - India,DU,76,12.91
961,Oklahoma State University,Oklahoma State,89,12.69
967,University of California-Merced,UC Merced,69,12.59
974,University of Akron,UAkron,22,12.47
976,University of New Hampshire,UNH,78,12.44
977,Augusta University,Augusta,52,12.43
1002,University of Mississippi,Ole Miss,110,11.93
1016,University of Rhode Island,URI,62,11.57
1026,University of Tennessee Health Science Center,UTHSC,85,11.32
1032,George Mason University,GMU,91,11.16
1035,University of Idaho,University Idaho,42,11.1
1059,State University of New York College at Buffalo,Buffalo State University,62,10.54
1060,Michigan Technological University,Michigan Tech,42,10.54
1061,University of Wisconsin-Milwaukee,UWM,41,10.51
1069,Florida International University,FIU,100,10.39
1072,University of Maryland-Baltimore County,UMBC,94,10.35
1078,Brigham Young University,BYU,29,10.29
1080,Kent State University,Kent State,48,10.27
1091,State University of New York Upstate Medical University,SUNY Upstate,45,10.05
1093,University of Arkansas for Medical Sciences,UAMS,55,10.04
1134,Missouri University of Science and Technology,MST,23,9.5
1178,Uniformed Services University of the Health Sciences,Uniformed Services,47,8.95
